image_id,prob_class0,prob_class1,prob_class2,prob_class3,prob_class4
3373453090.jpg,0.00045338003002842216,0.0012471393315791899,0.0012499284906422967,0.9967558153465242,0.00029373680122608007
1614282966.jpg,0.0005077831948400407,0.0013475621008253993,0.0012206523685736837,0.9965987510113901,0.00032525132437092875
1558118745.jpg,0.010034593563285926,0.014032886848128171,0.9154788872169489,0.04962221555549554,0.010831416816141417
train-cmd-2077.jpg,0.0004686383361469594,0.0013280826931489364,0.0010542143567247243,0.9968496099643499,0.0002994546496294394
4061773647.jpg,0.000373887042689432,0.9990996881924635,0.00011141241708594019,0.0002135537994605346,0.0002014585483006043
1267263772.jpg,0.0031048718941372533,0.0055047288090229315,0.9732558279567408,0.014794709036507238,0.0033398623035918126
2856136124.jpg,0.00038955553246592577,0.0010769132125950157,0.0009255848782692528,0.9973584496855138,0.0002494966911558073
3517991317.jpg,0.006923904807435784,0.019464521263064666,0.011027265332477535,0.9588859725024614,0.0036983360945605772
train-cbsd-714.jpg,0.012974555905261496,0.9808441025879583,0.001375041952918386,0.0022362609245977403,0.002570038629264135
2216366508.jpg,0.057283230069784946,0.06911369678929216,0.06982073935218679,0.05002189279556986,0.7537604409931663
2574008677.jpg,0.0016513134962473914,0.0017454157897588902,0.9909837530740253,0.0037645425932729413,0.001854975046695333
3460883505.jpg,0.06630909825292054,0.06558890375448061,0.37022600859773575,0.12922227491909988,0.36865371447576323
2448133636.jpg,0.02808821461006092,0.6953123556044645,0.005805717098044887,0.257453541186412,0.01334017150101765
3851642042.jpg,0.0010586041601552522,0.0022416464488870377,0.0026639972743129374,0.9934226938392119,0.0006130582774329237
2717138442.jpg,0.880841117329947,0.03991803274940517,0.05178256757562731,0.01674457286066752,0.01071370948435294
1878671102.jpg,0.00022236979870272482,0.000810162207694958,0.0005555879126500384,0.9982722959323878,0.00013958414856463208
train-healthy-5.jpg,0.028345910419472344,0.037291829123997304,0.055755032389117894,0.027371216953932704,0.8512360111134798
2164217173.jpg,0.0453959356139543,0.02013295157380995,0.02993353221111237,0.007614629773754665,0.8969229508273688
train-cbb-135.jpg,0.9298580501779297,0.04667901232942939,0.00481628633156501,0.006134005768039935,0.012512645393035846
4213471018.jpg,0.021248617530786364,0.034385917159155226,0.2120511510663831,0.7109208097332257,0.02139350451044956
1465663375.jpg,0.0013853429826735514,0.0022523317670544094,0.9800752315663185,0.014821821342297493,0.0014652723416561666
train-cmd-598.jpg,0.0011592671050424908,0.0022762132849018938,0.0026138516900130362,0.9932681530533922,0.0006825148666503478
train-cbsd-1048.jpg,0.0009452794750451813,0.9978956989541825,0.00023266655098698943,0.00047676253474837214,0.0004495924850367908
2872555375.jpg,0.00043284409053068965,0.001168825277299449,0.0010533555007749124,0.9970608844352747,0.0002840906961202734
98151706.jpg,0.0005046398407525161,0.0013448926564579684,0.0012650771666893115,0.9965337742911031,0.0003516160449969431
1043857809.jpg,0.0004849103163771869,0.001356498390194674,0.0013523394105780632,0.9964654142502382,0.0003408376326120008
1067694987.jpg,0.03830932257756462,0.08000244894205485,0.19391095448946677,0.15888141860161903,0.5288958553892947
train-cbsd-463.jpg,0.00043385194494600455,0.0012732992508561816,0.0012748113965649398,0.9967256410859304,0.00029239632170246615
2771179588.jpg,0.0009026931581744536,0.002165608766597383,0.00246864101539938,0.9939055877010124,0.000557469358816245
1822218545.jpg,0.014327695054403792,0.02364184901269326,0.02005015209415099,0.9182308734149041,0.023749430423847792
train-cbsd-243.jpg,0.0026427391361788575,0.9868774899920281,0.0036424950524730107,0.001623576068580689,0.005213699750739301
train-cbb-449.jpg,0.9950745629031127,0.0031905926835121717,0.00048498563570721984,0.0006176335619295114,0.0006322252157384859
2454252015.jpg,0.00480323314424467,0.010062703593366938,0.01675649448766163,0.00441014258200266,0.963967426192724
1598396225.jpg,0.013607850912045564,0.03748061854141164,0.8862249484487392,0.04987461780684487,0.012811964290958605
